Time [sec],x0 [m],y0 [m],size [m],x1 [m],y1 [m],size [m],x2 [m],y2 [m],size [m],x3 [m],y3 [m],size [m]
6.2000,9.03090942,-0.83447249,0.18188044,7.08431261,2.92049570,0.62865663,,,,4.31287121,-0.27864439,1.08879383
6.3000,9.09298735,-0.80811397,0.18188044,7.20867308,2.88246803,0.62865663,,,,4.14654284,-0.34068514,1.08879383
6.4000,9.14152147,-0.78154841,0.18188044,7.34486082,2.87282393,0.62865663,,,,3.97388124,-0.39177560,1.08879383
6.5000,9.17594642,-0.75508494,0.18188044,7.47817341,2.85420418,0.62865663,,,,3.79234411,-0.40322886,1.08879383
6.6000,9.19585158,-0.72876949,0.18188044,7.59881432,2.82118520,0.62865663,,,,3.63211948,-0.44855153,1.08879383
6.7000,9.20105973,-0.70260830,0.18188044,7.71113127,2.79626517,0.62865663,,,,3.46702227,-0.47986471,1.08879383
6.8000,9.19164749,-0.67660158,0.18188044,7.82362018,2.77343728,0.62865663,,,,3.30788237,-0.50180811,1.08879383
6.9000,9.16794396,-0.65074864,0.18188044,7.93267937,2.74975414,0.62865663,,,,3.15273796,-0.54323897,1.08879383
7.0000,9.13051358,-0.62504865,0.18188044,8.03535159,2.70464673,0.62865663,,,,2.98311815,-0.55314611,1.08879383
7.1000,9.08012603,-0.59950075,0.18188044,8.11557438,2.62642919,0.62865663,,,,2.81508315,-0.60714446,1.08879383
7.2000,9.01771663,-0.57410407,0.18188044,8.20396258,2.57737739,0.62865663,,,,2.65673964,-0.68143328,1.08879383
7.3000,8.95671830,-0.52670272,0.18188044,8.26601982,2.48597972,0.62865663,,,,2.50601698,-0.78895940,1.08879383
7.4000,8.85075074,-0.51571532,0.18188044,8.31897894,2.39387876,0.62865663,,,,2.36025133,-0.90582608,1.08879383
7.5000,8.73724700,-0.54080732,0.18188044,8.38770180,2.31207569,0.62865663,,,,2.22370884,-1.01969300,1.08879383
7.6000,8.61005010,-0.59816264,0.18188044,8.43182911,2.20511804,0.62865663,,,,2.08212934,-1.11334167,1.08879383
7.7000,8.47813260,-0.62688876,0.18188044,8.45808799,2.09215633,0.62865663,,,,1.96292284,-1.24149205,1.08879383
7.8000,8.35007165,-0.69826429,0.18188044,8.50957798,1.98009777,0.62865663,,,,1.85428216,-1.37232124,1.08879383
7.9000,8.22622845,-0.75725812,0.18188044,8.54354157,1.86226836,0.62865663,,,,1.73077331,-1.48683301,1.08879383
8.0000,8.08825631,-0.79123140,0.18188044,8.54592645,1.74073013,0.62865663,,,,1.58467718,-1.57094011,1.08879383
8.1000,7.96272941,-0.87179292,0.18188044,8.53490834,1.61933053,0.62865663,,,,1.45261510,-1.66828251,1.08879383
8.2000,7.82958377,-0.93566914,0.18188044,8.49074017,1.50397214,0.62865663,,,,1.32571157,-1.76048504,1.08879383
8.3000,7.69814642,-1.00120369,0.18188044,8.44682026,1.39182105,0.62865663,,,,1.18914522,-1.81724337,1.08879383
8.4000,7.56447784,-1.06383115,0.18188044,8.42109540,1.26634110,0.62865663,,,,1.08988053,-1.91596549,1.08879383
8.5000,7.42262635,-1.12686837,0.18188044,8.39483245,1.14502928,0.62865663,,,,1.03834019,-2.04355664,1.08879383
8.6000,7.29097362,-1.20877231,0.18188044,8.33687622,1.02954058,0.62865663,,,,1.02489128,-2.18415339,1.08879383
8.7000,7.18302066,-1.34866414,0.18188044,8.30064028,0.90494009,0.62865663,,,,0.99117469,-2.31119565,1.08879383
8.8000,7.07290666,-1.47984445,0.18188044,8.25805991,0.79116436,0.62865663,,,,0.98912606,-2.44355963,1.08879383
8.9000,6.92699919,-1.58074064,0.18188044,8.20024824,0.68251462,0.62865663,,,,1.03161743,-2.57773008,1.08879383
9.0000,6.74228565,-1.64491476,0.18188044,8.11799413,0.57879776,0.62865663,,,,1.02744252,-2.71633473,1.08879383
9.1000,6.54472353,-1.70776486,0.18188044,8.01983282,0.48599172,0.62865663,,,,1.03903057,-2.85184011,1.08879383
9.2000,6.33620417,-1.73180902,0.18188044,7.89419102,0.41533742,0.62865663,,,,1.01718828,-3.00078850,1.08879383
9.3000,6.14774665,-1.80551341,0.18188044,7.78449691,0.31139500,0.62865663,,,,1.05863442,-3.14655650,1.08879383
9.4000,5.96386761,-1.88759230,0.18188044,7.69214290,0.18548787,0.62865663,,,,1.11014524,-3.29535230,1.08879383
9.5000,5.75913012,-1.93447394,0.18188044,7.63242299,0.04239249,0.62865663,,,,1.12357201,-3.46152551,1.08879383
9.6000,5.55893849,-1.96869270,0.18188044,7.59155152,-0.11184009,0.62865663,,,,1.16292892,-3.62037479,1.08879383
9.7000,5.36561453,-2.03229818,0.18188044,7.54477562,-0.26031164,0.62865663,,,,1.20308479,-3.78584332,1.08879383
9.8000,5.14963646,-2.03376007,0.18188044,7.53128162,-0.41748320,0.62865663,,,,1.25533400,-3.94201743,1.08879383
9.9000,4.92822374,-1.99593566,0.18188044,7.48454799,-0.56869586,0.62865663,,,,1.30159202,-4.10010272,1.08879383
